Real,Imaginary
-6.00620,0.44568
-6.00624,0.44722
-6.00628,0.44876
-6.00633,0.45030
-6.00637,0.45185
-6.00641,0.45339
-6.00646,0.45493
-6.00650,0.45647
-6.00654,0.45802
-6.00659,0.45956
-6.00663,0.46110
-6.00668,0.46265
-6.00672,0.46419
-6.00677,0.46573
-6.00681,0.46728
-6.00685,0.46882
-6.00690,0.47036
-6.00695,0.47191
-6.00699,0.47345
-6.00704,0.47499
-6.00708,0.47654
-6.00713,0.47808
-6.00717,0.47962
-6.00722,0.48117
-6.00727,0.48271
-6.00731,0.48426
-6.00736,0.48580
-6.00741,0.48734
-6.00745,0.48889
-6.00750,0.49043
-6.00755,0.49198
-6.00759,0.49352
-6.00764,0.49507
-6.00769,0.49661
-6.00774,0.49816
-6.00779,0.49970
-6.00783,0.50124
-6.00788,0.50279
-6.00793,0.50433
-6.00798,0.50588
-6.00803,0.50742
-6.00808,0.50897
-6.00813,0.51051
-6.00817,0.51206
-6.00822,0.51360
-6.00827,0.51515
-6.00832,0.51670
-6.00837,0.51824
-6.00842,0.51979
-6.00847,0.52133
-6.00852,0.52288
-6.00857,0.52442
-6.00862,0.52597
-6.00867,0.52752
-6.00873,0.52906
-6.00878,0.53061
-6.00883,0.53215
-6.00888,0.53370
-6.00893,0.53525
-6.00898,0.53679
-6.00903,0.53834
-6.00908,0.53988
-6.00914,0.54143
-6.00919,0.54298
-6.00924,0.54452
-6.00929,0.54607
-6.00935,0.54762
-6.00940,0.54916
-6.00945,0.55071
-6.00950,0.55226
-6.00956,0.55381
-6.00961,0.55535
-6.00966,0.55690
-6.00972,0.55845
-6.00977,0.55999
-6.00983,0.56154
-6.00988,0.56309
-6.00993,0.56464
-6.00999,0.56618
-6.01004,0.56773
-6.01010,0.56928
-6.01015,0.57083
-6.01021,0.57238
-6.01026,0.57392
-6.01032,0.57547
-6.01037,0.57702
-6.01043,0.57857
-6.01049,0.58012
-6.01054,0.58167
-6.01060,0.58321
-6.01065,0.58476
-6.01071,0.58631
-6.01077,0.58786
-6.01082,0.58941
-6.01088,0.59096
-6.01094,0.59251
-6.01099,0.59406
-6.01105,0.59561
-6.01111,0.59715
-6.01117,0.59870
-6.01122,0.60025
-6.01128,0.60180
-6.01134,0.60335
-6.01140,0.60490
-6.01146,0.60645
-6.01151,0.60800
-6.01157,0.60955
-6.01163,0.61110
-6.01169,0.61265
